attendance_id,student_id,class_id,month,attendance_percent
A58,S3010,C106,Dec 2024,75.8
A59,S3010,C106,Jan 2025,60.2
A60,S3010,C106,Feb 2025,65.0
A61,S3011,C108,Sep 2024,
A62,S3011,C108,Oct 2024,62.5
A63,S3011,C108,Nov 2024,67.4
A64,S3011,C108,Dec 2024,53.1
A65,S3011,C108,Jan 2025,78.8
A66,S3011,C108,Feb 2025,52.3
A67,S3012,C104,Sep 2024,83.0
A68,S3012,C104,Oct 2024,86.5
A69,S3012,C104,Nov 2024,74.3
A70,S3012,C104,Dec 2024,89.1
A71,S3012,C104,Jan 2025,98.4
A72,S3012,C104,Feb 2025,67.0
A73,S3013,C112,Sep 2024,80.9
A74,S3013,C112,Oct 2024,66.2
A75,S3013,C112,Nov 2024,72.2
A76,S3013,C112,Dec 2024,51.0
A77,S3013,C112,Jan 2025,53.7
A78,S3013,C112,Feb 2025,89.9
A79,S3014,C107,Sep 2024,57.0
A80,S3014,C107,Oct 2024,85.0
A81,S3014,C107,Nov 2024,85.4
A82,S3014,C107,Dec 2024,99.8
A83,S3014,C107,Jan 2025,84.8
A84,S3014,C107,Feb 2025,56.4
A85,S3015,C109,Sep 2024,81.3
A86,S3015,C109,Oct 2024,76.2
A87,S3015,C109,Nov 2024,95.9
A88,S3015,C109,Dec 2024,
A89,S3015,C109,Jan 2025,84.5
A90,S3015,C109,Feb 2025,75.9
A91,S3016,C109,Sep 2024,81.2
A92,S3016,C109,Oct 2024,72.2
A93,S3016,C109,Nov 2024,75.4
A94,S3016,C109,Dec 2024,86.1
A95,S3016,C109,Jan 2025,53.9
A96,S3016,C109,Feb 2025,80.8
A97,S3017,C105,Sep 2024,54.4
A98,S3017,C105,Oct 2024,92.8
A99,S3017,C105,Nov 2024,97.1
A100,S3017,C105,Dec 2024,89.0
A101,S3017,C105,Jan 2025,85.9
A102,S3017,C105,Feb 2025,97.2
A103,S3018,C106,Sep 2024,60.9
A104,S3018,C106,Oct 2024,61.4
A105,S3018,C106,Nov 2024,74.1
A106,S3018,C106,Dec 2024,50.4
A107,S3018,C106,Jan 2025,98.3
A108,S3018,C106,Feb 2025,51.6
A109,S3019,C105,Sep 2024,79.8
A110,S3019,C105,Oct 2024,67.7
A111,S3019,C105,Nov 2024,55.1
A112,S3019,C105,Dec 2024,51.2
A113,S3019,C105,Jan 2025,63.1
A114,S3019,C105,Feb 2025,55.3
A115,S3020,C105,Sep 2024,97.0
A116,S3020,C105,Oct 2024,62.2
A117,S3020,C105,Nov 2024,54.7
A118,S3020,C105,Dec 2024,88.5
A119,S3020,C105,Jan 2025,70.7
A120,S3020,C105,Feb 2025,92.2
A121,S3021,C101,Sep 2024,91.9
A122,S3021,C101,Oct 2024,99.6
A123,S3021,C101,Nov 2024,90.2
A124,S3021,C101,Dec 2024,60.7
A125,S3021,C101,Jan 2025,79.3
A126,S3021,C101,Feb 2025,76.3
A127,S3022,C102,Sep 2024,75.4
A128,S3022,C102,Oct 2024,64.8
A129,S3022,C102,Nov 2024,60.5
A130,S3022,C102,Dec 2024,85.8
A131,S3022,C102,Jan 2025,55.1
A132,S3022,C102,Feb 2025,52.5
A133,S3023,C107,Sep 2024,69.1
A134,S3023,C107,Oct 2024,87.2
A135,S3023,C107,Nov 2024,
A136,S3023,C107,Dec 2024,93.4
A137,S3023,C107,Jan 2025,
A138,S3023,C107,Feb 2025,77.0
A139,S3024,C110,Sep 2024,92.0
A140,S3024,C110,Oct 2024,51.3
A141,S3024,C110,Nov 2024,72.8
A142,S3024,C110,Dec 2024,56.7
A143,S3024,C110,Jan 2025,79.1
A144,S3024,C110,Feb 2025,96.0
A145,S3025,C102,Sep 2024,50.4
A146,S3025,C102,Oct 2024,83.4
A147,S3025,C102,Nov 2024,89.6
A148,S3025,C102,Dec 2024,
A149,S3025,C102,Jan 2025,87.2
A150,S3025,C102,Feb 2025,51.0
A151,S3026,C101,Sep 2024,58.7
A152,S3026,C101,Oct 2024,54.7
A153,S3026,C101,Nov 2024,54.3
A154,S3026,C101,Dec 2024,86.5
A155,S3026,C101,Jan 2025,71.2
A156,S3026,C101,Feb 2025,86.2
A157,S3027,C109,Sep 2024,68.0
A158,S3027,C109,Oct 2024,55.9
A159,S3027,C109,Nov 2024,85.9
A160,S3027,C109,Dec 2024,81.3
A161,S3027,C109,Jan 2025,55.6
A162,S3027,C109,Feb 2025,96.2
A163,S3028,C105,Sep 2024,65.4
A164,S3028,C105,Oct 2024,82.7
A165,S3028,C105,Nov 2024,51.6
A166,S3028,C105,Dec 2024,72.2
A167,S3028,C105,Jan 2025,98.2
A168,S3028,C105,Feb 2025,94.3
A169,S3029,C109,Sep 2024,61.1
A170,S3029,C109,Oct 2024,94.0
A171,S3029,C109,Nov 2024,
A172,S3029,C109,Dec 2024,
A173,S3029,C109,Jan 2025,64.7
A174,S3029,C109,Feb 2025,92.6
A175,S3030,C108,Sep 2024,86.5
A176,S3030,C108,Oct 2024,67.6
A177,S3030,C108,Nov 2024,95.5
A178,S3030,C108,Dec 2024,74.3
A179,S3030,C108,Jan 2025,65.9
A180,S3030,C108,Feb 2025,64.0
A181,S3031,C108,Sep 2024,97.0
A182,S3031,C108,Oct 2024,87.9
A183,S3031,C108,Nov 2024,67.5
A184,S3031,C108,Dec 2024,62.7
A185,S3031,C108,Jan 2025,60.6
A186,S3031,C108,Feb 2025,62.2
A187,S3032,C110,Sep 2024,55.5
A188,S3032,C110,Oct 2024,74.2
A189,S3032,C110,Nov 2024,52.1
A190,S3032,C110,Dec 2024,50.6
A191,S3032,C110,Jan 2025,80.9
A192,S3032,C110,Feb 2025,54.4
A193,S3033,C108,Sep 2024,92.3
A194,S3033,C108,Oct 2024,55.3
A195,S3033,C108,Nov 2024,77.1
A196,S3033,C108,Dec 2024,83.8
A197,S3033,C108,Jan 2025,61.5
A198,S3033,C108,Feb 2025,94.4
A199,S3034,C101,Sep 2024,74.1
A200,S3034,C101,Oct 2024,65.8
A201,S3034,C101,Nov 2024,95.1
A202,S3034,C101,Dec 2024,92.9
A203,S3034,C101,Jan 2025,85.5
A204,S3034,C101,Feb 2025,64.5
A205,S3035,C109,Sep 2024,69.5
A206,S3035,C109,Oct 2024,84.5
A207,S3035,C109,Nov 2024,59.3
A208,S3035,C109,Dec 2024,74.8
A209,S3035,C109,Jan 2025,86.9
A210,S3035,C109,Feb 2025,82.9
A211,S3036,C106,Sep 2024,86.0
A212,S3036,C106,Oct 2024,94.6
A213,S3036,C106,Nov 2024,98.4
A214,S3036,C106,Dec 2024,72.9
A215,S3036,C106,Jan 2025,53.0
A216,S3036,C106,Feb 2025,91.7
A217,S3037,C112,Sep 2024,55.9
A218,S3037,C112,Oct 2024,61.0
A219,S3037,C112,Nov 2024,82.7
A220,S3037,C112,Dec 2024,87.3
A221,S3037,C112,Jan 2025,84.7
A222,S3037,C112,Feb 2025,71.9
A223,S3038,C107,Sep 2024,95.9
A224,S3038,C107,Oct 2024,91.6
A225,S3038,C107,Nov 2024,83.2
A226,S3038,C107,Dec 2024,72.1
A227,S3038,C107,Jan 2025,73.2
A228,S3038,C107,Feb 2025,58.8
A229,S3039,C111,Sep 2024,89.0
A230,S3039,C111,Oct 2024,93.3
A231,S3039,C111,Nov 2024,91.4
A232,S3039,C111,Dec 2024,77.4
A233,S3039,C111,Jan 2025,91.9
A234,S3039,C111,Feb 2025,89.5
A235,S3040,C102,Sep 2024,91.6
A236,S3040,C102,Oct 2024,99.1
A237,S3040,C102,Nov 2024,90.5
A238,S3040,C102,Dec 2024,63.5
A239,S3040,C102,Jan 2025,91.0
A240,S3040,C102,Feb 2025,68.8
A241,S3041,C102,Sep 2024,75.8
A242,S3041,C102,Oct 2024,89.8
A243,S3041,C102,Nov 2024,65.8
A244,S3041,C102,Dec 2024,51.3
A245,S3041,C102,Jan 2025,85.9
A246,S3041,C102,Feb 2025,95.1
A247,S3042,C108,Sep 2024,96.4
A248,S3042,C108,Oct 2024,89.9
A249,S3042,C108,Nov 2024,96.8
A250,S3042,C108,Dec 2024,91.0
A251,S3042,C108,Jan 2025,51.5
A252,S3042,C108,Feb 2025,67.5
A253,S3043,C103,Sep 2024,66.8
A254,S3043,C103,Oct 2024,61.0
A255,S3043,C103,Nov 2024,89.9
A256,S3043,C103,Dec 2024,76.0
A257,S3043,C103,Jan 2025,91.8
A258,S3043,C103,Feb 2025,80.1
A259,S3044,C109,Sep 2024,79.5
A260,S3044,C109,Oct 2024,
A261,S3044,C109,Nov 2024,69.2
A262,S3044,C109,Dec 2024,89.5
A263,S3044,C109,Jan 2025,84.2
A264,S3044,C109,Feb 2025,66.9
A265,S3045,C104,Sep 2024,99.7
A266,S3045,C104,Oct 2024,73.1
A267,S3045,C104,Nov 2024,65.8
A268,S3045,C104,Dec 2024,84.4
A269,S3045,C104,Jan 2025,61.1
A270,S3045,C104,Feb 2025,91.5
A271,S3046,C102,Sep 2024,84.0
A272,S3046,C102,Oct 2024,93.5
A273,S3046,C102,Nov 2024,66.5
A274,S3046,C102,Dec 2024,92.7
A275,S3046,C102,Jan 2025,75.0
A276,S3046,C102,Feb 2025,53.0
A277,S3047,C101,Sep 2024,59.7
A278,S3047,C101,Oct 2024,60.9
A279,S3047,C101,Nov 2024,88.4
A280,S3047,C101,Dec 2024,
A281,S3047,C101,Jan 2025,60.2
A282,S3047,C101,Feb 2025,78.1
A283,S3048,C109,Sep 2024,82.6
A284,S3048,C109,Oct 2024,88.7
A285,S3048,C109,Nov 2024,89.2
A286,S3048,C109,Dec 2024,85.9
A287,S3048,C109,Jan 2025,60.7
A288,S3048,C109,Feb 2025,77.2
A289,S3049,C112,Sep 2024,64.5
A290,S3049,C112,Oct 2024,88.8
A291,S3049,C112,Nov 2024,87.4
A292,S3049,C112,Dec 2024,61.5
A293,S3049,C112,Jan 2025,
A294,S3049,C112,Feb 2025,82.1
A295,S3050,C107,Sep 2024,52.9
A296,S3050,C107,Oct 2024,88.4
A297,S3050,C107,Nov 2024,89.0
A298,S3050,C107,Dec 2024,
A299,S3050,C107,Jan 2025,67.4
A300,S3050,C107,Feb 2025,90.3
A301,S3051,C104,Sep 2024,92.9
A302,S3051,C104,Oct 2024,
A303,S3051,C104,Nov 2024,59.5
A304,S3051,C104,Dec 2024,67.5
A305,S3051,C104,Jan 2025,63.1
A306,S3051,C104,Feb 2025,68.7
A307,S3052,C108,Sep 2024,72.3
A308,S3052,C108,Oct 2024,75.5
A309,S3052,C108,Nov 2024,51.8
A310,S3052,C108,Dec 2024,52.8
A311,S3052,C108,Jan 2025,82.8
A312,S3052,C108,Feb 2025,72.1
A313,S3053,C102,Sep 2024,54.5
A314,S3053,C102,Oct 2024,69.3
A315,S3053,C102,Nov 2024,73.8
A316,S3053,C102,Dec 2024,81.8
A317,S3053,C102,Jan 2025,55.9
A318,S3053,C102,Feb 2025,99.7
A319,S3054,C106,Sep 2024,73.7
A320,S3054,C106,Oct 2024,84.0
A321,S3054,C106,Nov 2024,95.4
A322,S3054,C106,Dec 2024,51.6
A323,S3054,C106,Jan 2025,80.1
A324,S3054,C106,Feb 2025,77.0
A325,S3055,C105,Sep 2024,
A326,S3055,C105,Oct 2024,52.9
A327,S3055,C105,Nov 2024,84.7
A328,S3055,C105,Dec 2024,61.0
A329,S3055,C105,Jan 2025,85.1
A330,S3055,C105,Feb 2025,68.1
A331,S3056,C101,Sep 2024,88.5
A332,S3056,C101,Oct 2024,97.1
A333,S3056,C101,Nov 2024,93.0
A334,S3056,C101,Dec 2024,74.1
A335,S3056,C101,Jan 2025,61.3
A336,S3056,C101,Feb 2025,99.6
A337,S3057,C105,Sep 2024,83.0
A338,S3057,C105,Oct 2024,69.8
A339,S3057,C105,Nov 2024,74.1
A340,S3057,C105,Dec 2024,
A341,S3057,C105,Jan 2025,56.4
A342,S3057,C105,Feb 2025,75.3
A343,S3058,C103,Sep 2024,58.7
A344,S3058,C103,Oct 2024,
A345,S3058,C103,Nov 2024,68.3
A346,S3058,C103,Dec 2024,74.6
A347,S3058,C103,Jan 2025,
A348,S3058,C103,Feb 2025,97.4
A349,S3059,C102,Sep 2024,81.2
A350,S3059,C102,Oct 2024,68.6
A351,S3059,C102,Nov 2024,
A352,S3059,C102,Dec 2024,55.7
A353,S3059,C102,Jan 2025,87.4
A354,S3059,C102,Feb 2025,73.3
A355,S3060,C108,Sep 2024,53.4
A356,S3060,C108,Oct 2024,82.8
A357,S3060,C108,Nov 2024,67.5
A358,S3060,C108,Dec 2024,70.2
A359,S3060,C108,Jan 2025,91.9
A360,S3060,C108,Feb 2025,56.9
A361,S3061,C102,Sep 2024,67.0
A362,S3061,C102,Oct 2024,68.2
A363,S3061,C102,Nov 2024,50.2
A364,S3061,C102,Dec 2024,92.3
A365,S3061,C102,Jan 2025,91.8
A366,S3061,C102,Feb 2025,83.1
A367,S3062,C101,Sep 2024,
A368,S3062,C101,Oct 2024,94.9
A369,S3062,C101,Nov 2024,63.6
A370,S3062,C101,Dec 2024,61.0
A371,S3062,C101,Jan 2025,53.4
A372,S3062,C101,Feb 2025,79.6
A373,S3063,C107,Sep 2024,
A374,S3063,C107,Oct 2024,
A375,S3063,C107,Nov 2024,
A376,S3063,C107,Dec 2024,74.8
A377,S3063,C107,Jan 2025,90.5
A378,S3063,C107,Feb 2025,74.1
A379,S3064,C105,Sep 2024,60.2
A380,S3064,C105,Oct 2024,90.5
A381,S3064,C105,Nov 2024,72.8
A382,S3064,C105,Dec 2024,97.8
A383,S3064,C105,Jan 2025,76.7
A384,S3064,C105,Feb 2025,55.8
A385,S3065,C109,Sep 2024,92.6
A386,S3065,C109,Oct 2024,93.9
A387,S3065,C109,Nov 2024,72.3
A388,S3065,C109,Dec 2024,51.3
A389,S3065,C109,Jan 2025,51.5
A390,S3065,C109,Feb 2025,67.6
A391,S3066,C112,Sep 2024,85.8
A392,S3066,C112,Oct 2024,66.6
A393,S3066,C112,Nov 2024,50.4
A394,S3066,C112,Dec 2024,92.4
A395,S3066,C112,Jan 2025,98.4
A396,S3066,C112,Feb 2025,
A397,S3067,C101,Sep 2024,67.3
A398,S3067,C101,Oct 2024,53.7
A399,S3067,C101,Nov 2024,64.6
A400,S3067,C101,Dec 2024,90.0
A401,S3067,C101,Jan 2025,77.1
A402,S3067,C101,Feb 2025,69.2
A403,S3068,C105,Sep 2024,66.7
A404,S3068,C105,Oct 2024,55.8
A405,S3068,C105,Nov 2024,67.0
A406,S3068,C105,Dec 2024,73.5
A407,S3068,C105,Jan 2025,83.7
A408,S3068,C105,Feb 2025,63.1
A409,S3069,C102,Sep 2024,94.9
A410,S3069,C102,Oct 2024,74.2
A411,S3069,C102,Nov 2024,70.3
A412,S3069,C102,Dec 2024,79.7
A413,S3069,C102,Jan 2025,58.4
A414,S3069,C102,Feb 2025,55.3
A415,S3070,C109,Sep 2024,67.3
A416,S3070,C109,Oct 2024,52.0
A417,S3070,C109,Nov 2024,68.9
A418,S3070,C109,Dec 2024,83.6
A419,S3070,C109,Jan 2025,90.6
A420,S3070,C109,Feb 2025,79.0
A421,S3071,C109,Sep 2024,84.6
A422,S3071,C109,Oct 2024,91.7
A423,S3071,C109,Nov 2024,88.7
A424,S3071,C109,Dec 2024,66.0
A425,S3071,C109,Jan 2025,78.7
A426,S3071,C109,Feb 2025,63.2
A427,S3072,C102,Sep 2024,78.8
A428,S3072,C102,Oct 2024,71.3
A429,S3072,C102,Nov 2024,68.6
A430,S3072,C102,Dec 2024,59.2
A431,S3072,C102,Jan 2025,78.1
A432,S3072,C102,Feb 2025,86.5
A433,S3073,C105,Sep 2024,78.6
A434,S3073,C105,Oct 2024,53.5
A435,S3073,C105,Nov 2024,96.2
A436,S3073,C105,Dec 2024,50.3
A437,S3073,C105,Jan 2025,94.3
A438,S3073,C105,Feb 2025,
A439,S3074,C112,Sep 2024,88.3
A440,S3074,C112,Oct 2024,54.8
A441,S3074,C112,Nov 2024,61.8
A442,S3074,C112,Dec 2024,67.4
A443,S3074,C112,Jan 2025,
A444,S3074,C112,Feb 2025,95.5
A445,S3075,C102,Sep 2024,99.0
A446,S3075,C102,Oct 2024,54.4
A447,S3075,C102,Nov 2024,69.8
A448,S3075,C102,Dec 2024,57.5
A449,S3075,C102,Jan 2025,63.9
A450,S3075,C102,Feb 2025,99.1
A451,S3076,C102,Sep 2024,99.2
A452,S3076,C102,Oct 2024,73.6
A453,S3076,C102,Nov 2024,59.2
A454,S3076,C102,Dec 2024,77.4
A455,S3076,C102,Jan 2025,66.0
A456,S3076,C102,Feb 2025,96.4
A457,S3077,C107,Sep 2024,90.9
A458,S3077,C107,Oct 2024,65.4
A459,S3077,C107,Nov 2024,50.9
A460,S3077,C107,Dec 2024,99.9
A461,S3077,C107,Jan 2025,84.2
A462,S3077,C107,Feb 2025,71.3
A463,S3078,C105,Sep 2024,64.4
A464,S3078,C105,Oct 2024,50.2
A465,S3078,C105,Nov 2024,57.7
A466,S3078,C105,Dec 2024,50.3
A467,S3078,C105,Jan 2025,79.9
A468,S3078,C105,Feb 2025,83.2
A469,S3079,C111,Sep 2024,88.3
A470,S3079,C111,Oct 2024,
A471,S3079,C111,Nov 2024,59.3
A472,S3079,C111,Dec 2024,54.8
A473,S3079,C111,Jan 2025,82.5
A474,S3079,C111,Feb 2025,75.0
A475,S3080,C109,Sep 2024,93.8
A476,S3080,C109,Oct 2024,76.7
A477,S3080,C109,Nov 2024,72.2
A478,S3080,C109,Dec 2024,74.4
A479,S3080,C109,Jan 2025,89.1
A480,S3080,C109,Feb 2025,50.9
A481,S3081,C107,Sep 2024,95.9
A482,S3081,C107,Oct 2024,85.7
A483,S3081,C107,Nov 2024,94.3
A484,S3081,C107,Dec 2024,98.0
A485,S3081,C107,Jan 2025,61.3
A486,S3081,C107,Feb 2025,78.9
A487,S3082,C109,Sep 2024,74.3
A488,S3082,C109,Oct 2024,76.9
A489,S3082,C109,Nov 2024,52.4
A490,S3082,C109,Dec 2024,95.7
A491,S3082,C109,Jan 2025,97.7
A492,S3082,C109,Feb 2025,84.3
A493,S3083,C109,Sep 2024,62.9
A494,S3083,C109,Oct 2024,89.4
A495,S3083,C109,Nov 2024,86.5
A496,S3083,C109,Dec 2024,78.7
A497,S3083,C109,Jan 2025,
A498,S3083,C109,Feb 2025,58.5
A499,S3084,C111,Sep 2024,60.1
A500,S3084,C111,Oct 2024,79.5
A501,S3084,C111,Nov 2024,56.4
A502,S3084,C111,Dec 2024,86.2
A503,S3084,C111,Jan 2025,60.6
A504,S3084,C111,Feb 2025,95.5
A505,S3085,C107,Sep 2024,95.0
A506,S3085,C107,Oct 2024,64.7
A507,S3085,C107,Nov 2024,54.2
A508,S3085,C107,Dec 2024,80.6
A509,S3085,C107,Jan 2025,72.4
A510,S3085,C107,Feb 2025,57.2
A511,S3086,C101,Sep 2024,76.6
A512,S3086,C101,Oct 2024,99.6
A513,S3086,C101,Nov 2024,53.4
A514,S3086,C101,Dec 2024,
A515,S3086,C101,Jan 2025,63.2
A516,S3086,C101,Feb 2025,76.9
A517,S3087,C106,Sep 2024,89.7
A518,S3087,C106,Oct 2024,50.9
A519,S3087,C106,Nov 2024,86.6
A520,S3087,C106,Dec 2024,57.0
A521,S3087,C106,Jan 2025,91.5
A522,S3087,C106,Feb 2025,84.6
A523,S3088,C107,Sep 2024,72.8
A524,S3088,C107,Oct 2024,91.1
A525,S3088,C107,Nov 2024,86.7
A526,S3088,C107,Dec 2024,88.0
A527,S3088,C107,Jan 2025,64.5
A528,S3088,C107,Feb 2025,81.0
A529,S3089,C104,Sep 2024,57.1
A530,S3089,C104,Oct 2024,91.0
A531,S3089,C104,Nov 2024,76.3
A532,S3089,C104,Dec 2024,91.2
A533,S3089,C104,Jan 2025,60.6
A534,S3089,C104,Feb 2025,56.5
A535,S3090,C109,Sep 2024,84.4
A536,S3090,C109,Oct 2024,52.9
A537,S3090,C109,Nov 2024,62.2
A538,S3090,C109,Dec 2024,95.4
A539,S3090,C109,Jan 2025,56.6
A540,S3090,C109,Feb 2025,68.8
A541,S3091,C107,Sep 2024,97.3
A542,S3091,C107,Oct 2024,51.0
A543,S3091,C107,Nov 2024,72.3
A544,S3091,C107,Dec 2024,89.3
A545,S3091,C107,Jan 2025,95.4
A546,S3091,C107,Feb 2025,86.8
A547,S3092,C111,Sep 2024,94.4
A548,S3092,C111,Oct 2024,51.7
A549,S3092,C111,Nov 2024,55.0
A550,S3092,C111,Dec 2024,86.9
A551,S3092,C111,Jan 2025,87.7
A552,S3092,C111,Feb 2025,80.3
A553,S3093,C103,Sep 2024,86.5
A554,S3093,C103,Oct 2024,92.9
A555,S3093,C103,Nov 2024,77.3
A556,S3093,C103,Dec 2024,97.4
A557,S3093,C103,Jan 2025,84.7
A558,S3093,C103,Feb 2025,73.6
A559,S3094,C107,Sep 2024,71.1
A560,S3094,C107,Oct 2024,87.5
A561,S3094,C107,Nov 2024,81.5
A562,S3094,C107,Dec 2024,90.9
A563,S3094,C107,Jan 2025,89.0
A564,S3094,C107,Feb 2025,76.2
A565,S3095,C112,Sep 2024,97.3
A566,S3095,C112,Oct 2024,85.2
A567,S3095,C112,Nov 2024,60.0
A568,S3095,C112,Dec 2024,80.9
A569,S3095,C112,Jan 2025,60.1
A570,S3095,C112,Feb 2025,77.9
A571,S3096,C109,Sep 2024,
A572,S3096,C109,Oct 2024,89.5
A573,S3096,C109,Nov 2024,90.6
A574,S3096,C109,Dec 2024,82.5
A575,S3096,C109,Jan 2025,89.2
A576,S3096,C109,Feb 2025,73.6
A577,S3097,C107,Sep 2024,77.5
A578,S3097,C107,Oct 2024,94.0
A579,S3097,C107,Nov 2024,74.7
A580,S3097,C107,Dec 2024,67.5
A581,S3097,C107,Jan 2025,89.8
A582,S3097,C107,Feb 2025,52.5
A583,S3098,C101,Sep 2024,97.9
A584,S3098,C101,Oct 2024,67.0
A585,S3098,C101,Nov 2024,81.5
A586,S3098,C101,Dec 2024,84.3
A587,S3098,C101,Jan 2025,56.9
A588,S3098,C101,Feb 2025,91.1
A589,S3099,C102,Sep 2024,78.6
A590,S3099,C102,Oct 2024,66.4
A591,S3099,C102,Nov 2024,
A592,S3099,C102,Dec 2024,92.5
A593,S3099,C102,Jan 2025,81.3
A594,S3099,C102,Feb 2025,89.3
A595,S3100,C106,Sep 2024,99.6
A596,S3100,C106,Oct 2024,56.5
A597,S3100,C106,Nov 2024,87.5
A598,S3100,C106,Dec 2024,87.9
A599,S3100,C106,Jan 2025,93.7
A600,S3100,C106,Feb 2025,70.4
A601,S3101,C108,Sep 2024,93.5
A602,S3101,C108,Oct 2024,
A603,S3101,C108,Nov 2024,82.0
A604,S3101,C108,Dec 2024,53.4
A605,S3101,C108,Jan 2025,51.6
A606,S3101,C108,Feb 2025,74.1
A607,S3102,C105,Sep 2024,89.3
A608,S3102,C105,Oct 2024,69.2
A609,S3102,C105,Nov 2024,92.6
A610,S3102,C105,Dec 2024,74.6
A611,S3102,C105,Jan 2025,51.3
A612,S3102,C105,Feb 2025,98.7
A613,S3103,C103,Sep 2024,74.5
A614,S3103,C103,Oct 2024,82.5
A615,S3103,C103,Nov 2024,60.0
A616,S3103,C103,Dec 2024,64.9
A617,S3103,C103,Jan 2025,
A618,S3103,C103,Feb 2025,74.2
A619,S3104,C110,Sep 2024,92.8
A620,S3104,C110,Oct 2024,55.1
A621,S3104,C110,Nov 2024,89.0
A622,S3104,C110,Dec 2024,79.0
A623,S3104,C110,Jan 2025,75.0
A624,S3104,C110,Feb 2025,93.8
A625,S3105,C107,Sep 2024,55.9
A626,S3105,C107,Oct 2024,99.5
A627,S3105,C107,Nov 2024,92.7
A628,S3105,C107,Dec 2024,66.3
A629,S3105,C107,Jan 2025,72.6
A630,S3105,C107,Feb 2025,
A631,S3106,C111,Sep 2024,51.3
A632,S3106,C111,Oct 2024,76.4
A633,S3106,C111,Nov 2024,77.4
A634,S3106,C111,Dec 2024,96.3
A635,S3106,C111,Jan 2025,
A636,S3106,C111,Feb 2025,69.4
A637,S3107,C101,Sep 2024,78.5
A638,S3107,C101,Oct 2024,87.0
A639,S3107,C101,Nov 2024,80.4
A640,S3107,C101,Dec 2024,57.8
A641,S3107,C101,Jan 2025,58.6
A642,S3107,C101,Feb 2025,56.9
A643,S3108,C106,Sep 2024,60.9
A644,S3108,C106,Oct 2024,66.4
A645,S3108,C106,Nov 2024,87.0
A646,S3108,C106,Dec 2024,53.0
A647,S3108,C106,Jan 2025,
A648,S3108,C106,Feb 2025,91.0
A649,S3109,C107,Sep 2024,63.1
A650,S3109,C107,Oct 2024,80.7
A651,S3109,C107,Nov 2024,77.6
A652,S3109,C107,Dec 2024,57.7
A653,S3109,C107,Jan 2025,64.4
A654,S3109,C107,Feb 2025,64.8
A655,S3110,C105,Sep 2024,81.2
A656,S3110,C105,Oct 2024,89.4
A657,S3110,C105,Nov 2024,99.8
A658,S3110,C105,Dec 2024,54.8
A659,S3110,C105,Jan 2025,96.9
A660,S3110,C105,Feb 2025,78.1
A661,S3111,C108,Sep 2024,67.8
A662,S3111,C108,Oct 2024,64.2
A663,S3111,C108,Nov 2024,60.5
A664,S3111,C108,Dec 2024,77.9
A665,S3111,C108,Jan 2025,97.3
A666,S3111,C108,Feb 2025,59.1
A667,S3112,C107,Sep 2024,71.8
A668,S3112,C107,Oct 2024,60.2
A669,S3112,C107,Nov 2024,58.8
